ticker,name,sector,cap_tier,exchange,adv_usd
UPM.HE,UPM-Kymmene Oyj,Basic Materials,large,HEL,29721276
SAMPO.HE,Sampo Oyj,Financial Services,large,HEL,29550020
BIOA-B.ST,BioArctic AB (publ),Healthcare,large,STO,28542129
0Q0C.L,Toshiba Corporation,Technology,large,LSE,28409897
VOLV-A.ST,AB Volvo (publ),Industrials,large,STO,28096954
KNEBV.HE,KONE Oyj,Industrials,large,HEL,28057197
RILBA.CO,Ringkjøbing Landbobank A/S,Financial Services,large,CPH,27928848
ASKER.ST,Asker Healthcare Group AB,Healthcare,large,STO,27642292
UCB.BR,UCB S.A.,Unknown,large,BRU,27242305
NOBA.ST,NOBA Bank Group AB,Financial Services,large,STO,26747849
IPCO.ST,International Petroleum Corporation,Energy,large,STO,26646061
LAGR-B.ST,Lagercrantz Group AB (publ),Technology,large,STO,26632119
CAMX.ST,Camurus AB (publ),Healthcare,large,STO,26567931
DNORD.CO,Dampskibsselskabet Norden A/S,Industrials,mid,CPH,26325359
ALK-B.CO,ALK-Abelló A/S,Healthcare,large,CPH,25905805
MYCR.ST,Mycronic AB (publ),Industrials,large,STO,25820928
WALL-B.ST,Wallenstam AB (publ),Real Estate,large,STO,25480068
SECT-B.ST,Sectra AB (publ),Healthcare,large,STO,24653100
WPM.L,Wheaton Precious Metals Corp.,Basic Materials,large,LSE,24423695
PEAB-B.ST,Peab AB (publ),Industrials,large,STO,23551947
TOP.CO,Topdanmark A/S,Financial Services,large,CPH,23363769
CHEMM.CO,ChemoMetec A/S,Healthcare,mid,CPH,23013590
CATE.ST,Catena AB (publ),Real Estate,large,STO,22490623
KNM.L,Konami Group Corporation,Technology,large,LSE,22450000
FORTUM.HE,Fortum Oyj,Utilities,large,HEL,21971802
ROKO-B.ST,Röko AB (publ),Financial Services,large,STO,21064820
NOKIA-SEK.ST,Nokia Oyj,Technology,large,STO,20829103
HLUN-B.CO,H. Lundbeck A/S,Healthcare,large,CPH,19967714
PNDX-B.ST,Pandox AB (publ),Consumer Cyclical,large,STO,19962060
ZEG.L,Zegona Communications plc,Communication Services,large,LSE,19452972
STERV.HE,Stora Enso Oyj,Basic Materials,mid,HEL,18980363
BRAV.ST,Bravida Holding AB (publ),Industrials,large,STO,18902844
8TRA.ST,Traton SE,Industrials,large,STO,18223877
TL0.DE,"Tesla, Inc.",Consumer Cyclical,large,XETRA,18151450
ALMB.CO,Alm. Brand A/S,Financial Services,large,CPH,17863397
NVD.DE,NVIDIA Corporation,Technology,large,XETRA,17542531
SMSN.L,"Samsung Electronics Co., Ltd.",Technology,large,LSE,16942544
CLAS-B.ST,Clas Ohlson AB (publ),Consumer Cyclical,large,STO,16145309
MAW.L,"Maruwa Co., Ltd.",Technology,large,LSE,16080000
HMS.ST,HMS Networks AB (publ),Technology,large,STO,14893063
DFDS.CO,DFDS A/S,Industrials,mid,CPH,14732416
MOCORP.HE,Metso Outotec Oyj,Industrials,mid,HEL,14565537
SHB-B.ST,Svenska Handelsbanken AB (publ),Financial Services,large,STO,13500207
METSO.HE,Metso Oyj,Industrials,large,HEL,13491103
WRT1V.HE,Wärtsilä Oyj Abp,Industrials,large,HEL,13405515
GACA.L,General Accident PLC,Financial Services,large,LSE,12395730
RICO.L,"Ricoh Company, Ltd.",Industrials,large,LSE,12084000
AIBG.L,AIB Group plc,Financial Services,large,LSE,11964507
LIN.DE,Linde plc,Basic Materials,large,XETRA,11904350
ELISA.HE,Elisa Oyj,Communication Services,mid,HEL,11897341
MCOV-B.ST,Medicover AB (publ),Healthcare,large,STO,11002948
STG.CO,Scandinavian Tobacco Group A/S,Consumer Defensive,mid,CPH,10966683
IPC.L,International Paper Company,Consumer Cyclical,large,LSE,10288266
GUBRA.CO,Gubra A/S,Healthcare,mid,CPH,10047286
ORNBV.HE,Orion Oyj,Healthcare,mid,HEL,9828424
